,xg,yg,zg,Bx,By,Bz
95,-1.0,0.6000000000000001,0.40000000000000013,0.3199623322525412,-0.48554193610004664,0.23411754418233974
96,-1.0,0.6000000000000001,0.6000000000000001,0.24197818805578103,-0.3831516595119659,0.2771078134958863
97,-1.0,0.6000000000000001,0.8,0.1636043590822116,-0.2774477762330847,0.2651889943401057
98,-1.0,0.6000000000000001,1.0,0.0993320606513897,-0.18687233490410493,0.21885394947951142
99,-1.0,0.8,-1.0,0.1287119399502899,-0.17288180646074355,-0.3019982600459287
100,-1.0,0.8,-0.8,0.21730372266780398,-0.27431494082629176,-0.3722184651445062
101,-1.0,0.8,-0.6,0.3261630151760502,-0.39637202614324885,-0.3935923100583644
102,-1.0,0.8,-0.3999999999999999,0.4349689510928714,-0.516863841435608,-0.33498849251403207
103,-1.0,0.8,-0.19999999999999996,0.5160557440070974,-0.6060572543600707,-0.1933880603681465
104,-1.0,0.8,0.0,0.5460788999570916,-0.6389869060633493,-0.0
105,-1.0,0.8,0.20000000000000018,0.5160557440070974,-0.6060572543600706,0.1933880603681468
106,-1.0,0.8,0.40000000000000013,0.43496895109287126,-0.5168638414356079,0.33498849251403223
107,-1.0,0.8,0.6000000000000001,0.3261630151760502,-0.39637202614324873,0.39359231005836437
108,-1.0,0.8,0.8,0.21730372266780398,-0.27431494082629176,0.3722184651445062
109,-1.0,0.8,1.0,0.1287119399502899,-0.17288180646074355,0.3019982600459287
110,-1.0,1.0,-1.0,0.15489398417642175,-0.15489398417642175,-0.39387942267512893
111,-1.0,1.0,-0.8,0.2702870095889866,-0.2702870095889866,-0.49521919825550553
112,-1.0,1.0,-0.6,0.4133696403834697,-0.4133696403834697,-0.5307469998184275
113,-1.0,1.0,-0.3999999999999999,0.5571348625813297,-0.5571348625813297,-0.45542952679222104
114,-1.0,1.0,-0.19999999999999996,0.6645758928332723,-0.6645758928332723,-0.2640235512124485
115,-1.0,1.0,0.0,0.7044044843878722,-0.7044044843878722,-0.0
116,-1.0,1.0,0.20000000000000018,0.6645758928332723,-0.6645758928332723,0.2640235512124489
117,-1.0,1.0,0.40000000000000013,0.5571348625813296,-0.5571348625813296,0.45542952679222115
118,-1.0,1.0,0.6000000000000001,0.41336964038346957,-0.41336964038346957,0.5307469998184275
119,-1.0,1.0,0.8,0.2702870095889866,-0.2702870095889866,0.49521919825550553
120,-1.0,1.0,1.0,0.15489398417642175,-0.15489398417642175,0.39387942267512893
121,-0.8,-1.0,-1.0,-0.17288180646074355,-0.1287119399502899,0.3019982600459287
122,-0.8,-1.0,-0.8,-0.27431494082629176,-0.21730372266780398,0.3722184651445062
123,-0.8,-1.0,-0.6,-0.39637202614324885,-0.3261630151760502,0.3935923100583644
124,-0.8,-1.0,-0.3999999999999999,-0.516863841435608,-0.4349689510928714,0.33498849251403207
125,-0.8,-1.0,-0.19999999999999996,-0.6060572543600707,-0.5160557440070974,0.1933880603681465
126,-0.8,-1.0,0.0,-0.6389869060633493,-0.5460788999570916,0.0
127,-0.8,-1.0,0.20000000000000018,-0.6060572543600706,-0.5160557440070974,-0.1933880603681468
128,-0.8,-1.0,0.40000000000000013,-0.5168638414356079,-0.43496895109287126,-0.33498849251403223
129,-0.8,-1.0,0.6000000000000001,-0.39637202614324873,-0.3261630151760502,-0.39359231005836437
130,-0.8,-1.0,0.8,-0.27431494082629176,-0.21730372266780398,-0.3722184651445062
131,-0.8,-1.0,1.0,-0.17288180646074355,-0.1287119399502899,-0.3019982600459287
132,-0.8,-0.8,-1.0,-0.14310219777774733,-0.14310219777774733,0.2311143855614034
133,-0.8,-0.8,-0.8,-0.22052606765764815,-0.22052606765764815,0.2786092573476864
134,-0.8,-0.8,-0.6,-0.3125649237838735,-0.3125649237838735,0.29006961620958943
135,-0.8,-0.8,-0.3999999999999999,-0.402752134176294,-0.402752134176294,0.2445066908754299
136,-0.8,-0.8,-0.19999999999999996,-0.46924083322853616,-0.46924083322853616,0.1404458238130674
137,-0.8,-0.8,0.0,-0.49374483729747337,-0.49374483729747337,0.0
138,-0.8,-0.8,0.20000000000000018,-0.46924083322853605,-0.46924083322853605,-0.1404458238130676
139,-0.8,-0.8,0.40000000000000013,-0.4027521341762939,-0.4027521341762939,-0.24450669087542995
140,-0.8,-0.8,0.6000000000000001,-0.31256492378387346,-0.31256492378387346,-0.2900696162095894
141,-0.8,-0.8,0.8,-0.22052606765764815,-0.22052606765764815,-0.2786092573476864
