time,Anum,Bnum,Aact,Bact,Bcum,inventory,refilled
0.0,0.0,0.0,0.0,0.0,0.0,11100000000.0,0.0
0.04032258064516129,208202988886722.22,195151352282.875,112101754.54494868,158142.31389980295,0.0,11100000000.0,0.0
0.08064516129032258,416015795792272.9,779384084314.5625,223993425.24376702,631579.5461746325,0.0,11100000000.0,0.0
0.12096774193548387,623439151935634.2,1750871110901.125,335675405.80324715,1418831.1050843785,0.0,11100000000.0,0.0
0.16129032258064516,830473787165452.5,3107791866220.5,447148089.1923576,2518421.68190922,0.0,11100000000.0,0.0
0.20161290322580644,1037120429962603.1,4848332282792.875,558411867.6436247,3928881.233908114,0.0,11100000000.0,0.0
0.24193548387096775,1243379807442757.0,6970684770647.5,669467132.6545137,5648744.967436475,0.0,11100000000.0,0.0
0.282258064516129,1449252645358945.0,9473048196487.25,780314274.9888105,7676553.321062023,0.0,11100000000.0,0.0
0.3225806451612903,1654739668104100.5,12353627862984.5,890953684.6779898,10010851.948787047,0.0,11100000000.0,0.0
0.3629032258064516,1859841598713585.5,15610635487970.75,1001385751.0225757,12650191.703184566,0.0,11100000000.0,0.0
0.4032258064516129,2064559158867795.5,19242289183951.75,1111610862.593544,15593128.618798267,0.0,11100000000.0,0.0
0.4435483870967742,2268893068894650.0,23246813437483.75,1221629407.233663,18838223.89542989,0.0,11100000000.0,0.0
0.4838709677419355,2472844047772145.5,27622439088654.5,1331441772.058869,22384043.881511517,0.0,11100000000.0,0.0
0.5241935483870968,2676412813130860.0,32367403310631.0,1441048343.459613,26229160.057531934,0.0,11100000000.0,0.0
0.564516129032258,2879600081256517.5,37479949589360.5,1550449507.102244,30372149.0195872,0.0,11100000000.0,0.0
0.6048387096774194,3082406567092506.5,42958327703221.5,1659645647.930362,34811592.46289068,0.0,11100000000.0,0.0
0.6451612903225806,3284832984242331.0,48800793702685.5,1768637150.1661408,39546077.16529179,0.0,11100000000.0,0.0
0.6854838709677419,3486880044972217.0,55005609890317.5,1877424397.3117292,44574194.97106928,0.0,11100000000.0,0.0
0.7258064516129032,3688548460213538.5,61571044800403.5,1986007772.1505578,49894542.77442219,0.0,11100000000.0,0.0
0.7661290322580645,3889838939565374.5,68495373179146.5,2094387656.7487159,55505722.50342159,0.0,11100000000.0,0.0
0.8064516129032258,4090752191296972.0,75776875964447.0,2202564432.4562783,61406341.10362551,0.0,11100000000.0,0.0
0.8467741935483871,4291288922350229.5,83413840266004.0,2310538479.908641,67595010.52195369,0.0,11100000000.0,0.0
0.8870967741935484,4491449838342246.0,91404559345572.5,2418310179.0278945,74070347.69068904,0.0,11100000000.0,0.0
0.9274193548387096,4691235643567717.0,99747332596959.0,2525879909.024114,80830974.5112669,0.0,11100000000.0,0.0
0.967741935483871,4890647041001497.0,108440465526369.0,2633248048.39674,87875517.83834948,0.0,11100000000.0,0.0
1.0080645161290323,5089684732301022.0,117482269732676.0,2740414974.935879,95202609.4638367,0.0,11100000000.0,0.0
1.0483870967741935,5288349417808745.0,126871062887691.0,2847381065.7236204,102810886.10087743,0.0,11100000000.0,0.0
1.0887096774193548,5486641796554721.0,136605168716811.0,2954146697.1354227,110698989.36818787,0.0,11100000000.0,0.0
1.129032258064516,5684562566258944.0,146682916979254.0,3060712244.8413763,118865565.77403483,0.0,11100000000.0,0.0
1.1693548387096775,5882112423333843.0,157102643448690.0,3167078083.8075447,127309266.70053992,0.0,11100000000.0,0.0
1.2096774193548387,6079292062886772.0,167862689893891.0,3273244588.297306,136028748.38799918,0.0,11100000000.0,0.0
1.25,6276102178722379.0,178961404059262.0,3379212131.8726287,145022671.9191061,0.0,11100000000.0,0.0
1.2903225806451613,6472543463345131.0,190397139645738.0,3484981087.3954306,154289703.2034716,0.0,11100000000.0,0.0
1.3306451612903225,6668616607961688.0,202168256291371.0,3590551827.0288577,163828512.96189234,0.0,11100000000.0,0.0
1.3709677419354838,6864322302483354.0,214273119552259.0,3695924722.238604,173637776.71089646,0.0,11100000000.0,0.0
1.411290322580645,7059661235528518.0,226710100883444.0,3801100143.7942243,183716174.74726427,0.0,11100000000.0,0.0
1.4516129032258065,7254634094425063.0,239477577619840.0,3906078461.770433,194062392.1325729,0.0,11100000000.0,0.0
1.4919354838709677,7449241565212794.0,252573932957225.0,4010860045.548411,204675118.67779315,0.0,11100000000.0,0.0
1.532258064516129,7643484332645828.0,265997555933347.0,4115445263.8170915,215553048.92797863,0.0,11100000000.0,0.0
1.5725806451612903,7837363080195041.0,279746841409006.0,4219834484.574479,226694882.1469354,0.0,11100000000.0,0.0
1.6129032258064515,8030878490050448.0,293820190049292.0,4324028075.12893,238099322.3020179,0.0,11100000000.0,0.0
1.6532258064516128,8224031243123590.0,308216008304723.0,4428026402.100437,249765078.04884425,0.0,11100000000.0,0.0
