# (n,g)     reaction
# E_in [eV]   sigma[barns]
1.162528e-01  8.784402e+00
1.220655e-01  8.812569e+00
1.278781e-01  8.854353e+00
1.342720e-01  8.915323e+00
1.406659e-01  8.991453e+00
1.476992e-01  9.092247e+00
1.547325e-01  9.210637e+00
1.624691e-01  9.361121e+00
1.702057e-01  9.533013e+00
1.751088e-01  9.653227e+00
1.811676e-01  9.814153e+00
1.872263e-01  9.989140e+00
1.965876e-01  1.028834e+01
2.059490e-01  1.062458e+01
2.110977e-01  1.082632e+01
2.162464e-01  1.104068e+01
2.213951e-01  1.126827e+01
2.265439e-01  1.150977e+01
2.322074e-01  1.179241e+01
2.378710e-01  1.209390e+01
2.435346e-01  1.241550e+01
2.491982e-01  1.275856e+01
2.567900e-01  1.325478e+01
2.611220e-01  1.355803e+01
2.654540e-01  1.387693e+01
2.697860e-01  1.421242e+01
2.741181e-01  1.456551e+01
2.809710e-01  1.516274e+01
2.878240e-01  1.581166e+01
2.946769e-01  1.651784e+01
3.015299e-01  1.728765e+01
3.061586e-01  1.784727e+01
3.107872e-01  1.844182e+01
3.154159e-01  1.907410e+01
3.200446e-01  1.974724e+01
3.258637e-01  2.065685e+01
3.316829e-01  2.164431e+01
3.358289e-01  2.240020e+01
3.399749e-01  2.320371e+01
3.441210e-01  2.405885e+01
3.482670e-01  2.497005e+01
3.524130e-01  2.594227e+01
3.565591e-01  2.698098e+01
3.607051e-01  2.809235e+01
3.648511e-01  2.928324e+01
3.674730e-01  3.008083e+01
3.702751e-01  3.097423e+01
3.730772e-01  3.191276e+01
3.758793e-01  3.289947e+01
3.786814e-01  3.393773e+01
3.814834e-01  3.503117e+01
3.842855e-01  3.618376e+01
3.870877e-01  3.739984e+01
3.898897e-01  3.868416e+01
3.926919e-01  4.004191e+01
3.954940e-01  4.147880e+01
3.982960e-01  4.300110e+01
4.010981e-01  4.461572e+01
4.013363e-01  4.475741e+01
4.039003e-01  4.633027e+01
4.067023e-01  4.815318e+01
4.095045e-01  5.009378e+01
4.123066e-01  5.216243e+01
4.151086e-01  5.437066e+01
4.179107e-01  5.673133e+01
4.207129e-01  5.925879e+01
4.235150e-01  6.196915e+01
4.263170e-01  6.488049e+01
4.291192e-01  6.801319e+01
4.319212e-01  7.139028e+01
4.347233e-01  7.503783e+01
4.361244e-01  7.697214e+01
4.375254e-01  7.898550e+01
4.389265e-01  8.108226e+01
4.403276e-01  8.326709e+01
4.414699e-01  8.511709e+01
4.431297e-01  8.792129e+01
4.445307e-01  9.040175e+01
4.459318e-01  9.299253e+01
4.473328e-01  9.570024e+01
4.487338e-01  9.853202e+01
4.505552e-01  1.024115e+02
4.523766e-01  1.065320e+02
4.534974e-01  1.091963e+02
4.546183e-01  1.119646e+02
4.557391e-01  1.148425e+02
4.568599e-01  1.178357e+02
4.579808e-01  1.209505e+02
4.591016e-01  1.241935e+02
4.602225e-01  1.275718e+02
4.613433e-01  1.310930e+02
4.624641e-01  1.347652e+02
4.635850e-01  1.385971e+02
4.647058e-01  1.425980e+02
4.658267e-01  1.467780e+02
4.669475e-01  1.511476e+02
4.680683e-01  1.557186e+02
4.691892e-01  1.605033e+02
4.703100e-01  1.655152e+02
4.714309e-01  1.707686e+02
4.725517e-01  1.762792e+02
4.736725e-01  1.820638e+02
4.747934e-01  1.881406e+02
4.759142e-01  1.945294e+02
4.770351e-01  2.012516e+02
4.781559e-01  2.083304e+02
4.792767e-01  2.157911e+02
4.803976e-01  2.236611e+02
4.815184e-01  2.319704e+02
4.826393e-01  2.407516e+02
