# Production of Ra-223 
# E_in [eV]   sigma[barns]
1.000000e+06  0.000000e+00
1.500000e+06  0.000000e+00
2.000000e+06  0.000000e+00
2.500000e+06  0.000000e+00
3.000000e+06  0.000000e+00
3.500000e+06  0.000000e+00
4.000000e+06  0.000000e+00
4.500000e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.500000e+06  0.000000e+00
6.000000e+06  0.000000e+00
6.500000e+06  0.000000e+00
7.000000e+06  0.000000e+00
7.500000e+06  0.000000e+00
8.000000e+06  0.000000e+00
8.500000e+06  0.000000e+00
9.000000e+06  0.000000e+00
9.500000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.050000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.150000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.250000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.350000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.450000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.550000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.650000e+07  0.000000e+00
1.700000e+07  0.000000e+00
1.750000e+07  0.000000e+00
1.800000e+07  0.000000e+00
1.850000e+07  0.000000e+00
1.850000e+07  1.921468e-03
1.900000e+07  9.279722e-03
1.950000e+07  1.903805e-02
2.000000e+07  2.936970e-02
2.100000e+07  4.277453e-02
2.200000e+07  4.658207e-02
2.300000e+07  4.467222e-02
2.400000e+07  4.118465e-02
2.500000e+07  3.648429e-02
2.600000e+07  2.995366e-02
2.700000e+07  2.250920e-02
2.800000e+07  1.566907e-02
2.900000e+07  1.112898e-02
3.000000e+07  8.051968e-03
3.200000e+07  4.716328e-03
3.400000e+07  3.262142e-03
3.600000e+07  2.566910e-03
3.800000e+07  2.101364e-03
4.000000e+07  1.798565e-03
4.200000e+07  1.597853e-03
4.400000e+07  1.437674e-03
4.600000e+07  1.302444e-03
4.800000e+07  1.208848e-03
5.000000e+07  1.125832e-03
5.200000e+07  1.053269e-03
5.400000e+07  1.006888e-03
5.600000e+07  9.476209e-04
5.800000e+07  9.003773e-04
6.000000e+07  8.568574e-04
6.200000e+07  8.111672e-04
6.400000e+07  7.846914e-04
6.600000e+07  7.643760e-04
6.800000e+07  7.195426e-04
7.000000e+07  6.863647e-04
7.200000e+07  6.593580e-04
7.400000e+07  6.312399e-04
7.600000e+07  6.020393e-04
7.800000e+07  5.877360e-04
8.000000e+07  5.681014e-04
8.500000e+07  5.124778e-04
9.000000e+07  4.689245e-04
9.500000e+07  4.108603e-04
1.000000e+08  3.814985e-04
1.100000e+08  3.043034e-04
1.200000e+08  2.447963e-04
1.300000e+08  2.038436e-04
1.400000e+08  1.619616e-04
1.500000e+08  1.471339e-04
1.600000e+08  1.155903e-04
1.700000e+08  1.003260e-04
1.800000e+08  8.645615e-05
1.900000e+08  6.780923e-05
2.000000e+08  5.930267e-05


