n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.4[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.4[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.4[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   1  dtl    0.150000E+01   0.112316E+00   0.598396E+00   0.124356E+01   0.123101E+01   0.530357E+01   0.524829E+01   0.502693E+02   0.899438E+02   0.270707E-01      0.947564E+01        0.558106E+02        0.783856E+02        0.904221E+01        0.333121E+02        0.175327E+03        0.457995E+02        0.861126E+02        0.994371E+02     0.382302E-01  -0.222680E+02  -0.125206E+00   0.824711E+01   0.154833E-01  -0.121372E+02   0.303955E+00   0.101077E-01   0.320474E+00   0.103794E-01  -0.140732E+00      0.187526E+02     0.000000E+00    0.500100E+04
   6  dtl    0.150000E+01   0.112316E+00   0.598396E+00   0.124356E+01   0.123101E+01   0.530357E+01   0.524829E+01   0.502693E+02   0.899438E+02   0.270707E-01      0.947564E+01        0.558106E+02        0.783856E+02        0.904221E+01        0.333121E+02        0.175327E+03        0.457995E+02        0.861126E+02        0.994371E+02     0.382302E-01  -0.222680E+02  -0.125206E+00   0.824711E+01   0.154833E-01  -0.121372E+02   0.303955E+00   0.101077E-01   0.320474E+00   0.103794E-01  -0.140732E+00      0.187526E+02     0.000000E+00    0.500100E+04
   1  dtl    0.180000E+01   0.114788E+00   0.440975E-01   0.154671E+01   0.150660E+01   0.516368E+01   0.563400E+01   0.424837E+02   0.899199E+02   0.275187E-01      0.146485E+02        0.409492E+02        0.238077E+03        0.144373E+02        0.390005E+02        0.975013E+02        0.406506E+02        0.757712E+02        0.820035E+02     0.956194E-01  -0.382308E+01  -0.305254E-01   0.785178E+01   0.156961E-01  -0.766283E+01   0.515149E-01   0.102536E-01  -0.389549E-01   0.987091E-02  -0.950207E-01      0.155077E+02     0.000000E+00    0.500100E+04
   7  dtl    0.180000E+01   0.114788E+00   0.440975E-01   0.154671E+01   0.150660E+01   0.516368E+01   0.563400E+01   0.424837E+02   0.899199E+02   0.275187E-01      0.146485E+02        0.409492E+02        0.238077E+03        0.144373E+02        0.390005E+02        0.975013E+02        0.406506E+02        0.757712E+02        0.820035E+02     0.956194E-01  -0.382308E+01  -0.305254E-01   0.785178E+01   0.156961E-01  -0.766283E+01   0.515149E-01   0.102536E-01  -0.389549E-01   0.987091E-02  -0.950207E-01      0.155077E+02     0.000000E+00    0.500100E+04
   1  dtl    0.210000E+01   0.117392E+00  -0.477894E+00   0.119466E+01   0.121340E+01   0.412855E+01   0.554609E+01   0.403113E+02   0.899055E+02   0.259584E-01      0.914138E+01        0.275328E+02        0.144909E+03        0.930870E+01        0.309845E+02        0.116483E+03        0.375661E+02        0.704657E+02        0.824160E+02    -0.514550E-01  -0.100552E+02  -0.763436E-01   0.305427E+02   0.159147E-01  -0.805909E+01  -0.384035E+00   0.993884E-02  -0.397229E+00   0.100688E-01  -0.207434E-01      0.155326E+02     0.000000E+00    0.500100E+04
   8  dtl    0.210000E+01   0.117392E+00  -0.477894E+00   0.119466E+01   0.121340E+01   0.412855E+01   0.554609E+01   0.403113E+02   0.899055E+02   0.259584E-01      0.914138E+01        0.275328E+02        0.144909E+03        0.930870E+01        0.309845E+02        0.116483E+03        0.375661E+02        0.704657E+02        0.824160E+02    -0.514550E-01  -0.100552E+02  -0.763436E-01   0.305427E+02   0.159147E-01  -0.805909E+01  -0.384035E+00   0.993884E-02  -0.397229E+00   0.100688E-01  -0.207434E-01      0.155326E+02     0.000000E+00    0.500100E+04
   1  dtl    0.240000E+01   0.120829E+00  -0.407055E+00   0.975764E+00   0.927032E+00   0.473536E+01   0.375227E+01   0.385715E+02   0.899741E+02   0.270891E-01      0.735814E+01        0.353747E+02        0.167653E+03        0.709968E+01        0.351213E+02        0.152701E+03        0.385612E+02        0.678420E+02        0.745517E+02    -0.202417E-01  -0.314704E+02  -0.220169E+00   0.187829E+02   0.161403E-01   0.512166E+01   0.102037E-01   0.835395E-02   0.203648E-01   0.781486E-02   0.382908E-01      0.142492E+02     0.200000E+01    0.499900E+04
   9  dtl    0.240000E+01   0.120829E+00  -0.407055E+00   0.975764E+00   0.927032E+00   0.473536E+01   0.375227E+01   0.385715E+02   0.899741E+02   0.270891E-01      0.735814E+01        0.353747E+02        0.167653E+03        0.709968E+01        0.351213E+02        0.152701E+03        0.385612E+02        0.678420E+02        0.745517E+02    -0.202417E-01  -0.314704E+02  -0.220169E+00   0.187829E+02   0.161403E-01   0.512166E+01   0.102037E-01   0.835395E-02   0.203648E-01   0.781486E-02   0.382908E-01      0.142492E+02     0.200000E+01    0.499900E+04
   1  dtl    0.270000E+01   0.125490E+00   0.531261E+00   0.128055E+01   0.129640E+01   0.604038E+01   0.497234E+01   0.424875E+02   0.899744E+02   0.270521E-01      0.108090E+02        0.593747E+02        0.202644E+03        0.110636E+02        0.709873E+02        0.210022E+03        0.434387E+02        0.916540E+02        0.108466E+03     0.108023E+00  -0.331563E+02  -0.215214E+00   0.189918E+00   0.163717E-01   0.995653E+01   0.207389E+00   0.993479E-02   0.278235E+00   0.994792E-02   0.104465E+00      0.157913E+02     0.300000E+01    0.499600E+04
  10  dtl    0.270000E+01   0.125490E+00   0.531261E+00   0.128055E+01   0.129640E+01   0.604038E+01   0.497234E+01   0.424875E+02   0.899744E+02   0.270521E-01      0.108090E+02        0.593747E+02        0.202644E+03        0.110636E+02        0.709873E+02        0.210022E+03        0.434387E+02        0.916540E+02        0.108466E+03     0.108023E+00  -0.331563E+02  -0.215214E+00   0.189918E+00   0.163717E-01   0.995653E+01   0.207389E+00   0.993479E-02   0.278235E+00   0.994792E-02   0.104465E+00      0.157913E+02     0.300000E+01    0.499600E+04
   1  dtl    0.300000E+01   0.130075E+00   0.122707E+01   0.138039E+01   0.138968E+01   0.403807E+01   0.380632E+01   0.456787E+02   0.898568E+02   0.259555E-01      0.122683E+02        0.333206E+02        0.392007E+02        0.123287E+02        0.331515E+02        0.385931E+02        0.462498E+02        0.848684E+02        0.118531E+03     0.332047E-02  -0.102764E+02  -0.113266E+00   0.542169E+01   0.166107E-01   0.739119E+01   0.434225E-01   0.103196E-01   0.381752E-01   0.104078E-01   0.743297E-01      0.176474E+02     0.300000E+01    0.499300E+04
  11  dtl    0.300000E+01   0.130075E+00   0.122707E+01   0.138039E+01   0.138968E+01   0.403807E+01   0.380632E+01   0.456787E+02   0.898568E+02   0.259555E-01      0.122683E+02        0.333206E+02        0.392007E+02        0.123287E+02        0.331515E+02        0.385931E+02        0.462498E+02        0.848684E+02        0.118531E+03     0.332047E-02  -0.102764E+02  -0.113266E+00   0.542169E+01   0.166107E-01   0.739119E+01   0.434225E-01   0.103196E-01   0.381752E-01   0.104078E-01   0.743297E-01      0.176474E+02     0.300000E+01    0.499300E+04
   1  dtl    0.330000E+01   0.133289E+00   0.699265E+00   0.118948E+01   0.117965E+01   0.639870E+01   0.376900E+01   0.419974E+02   0.899936E+02   0.272202E-01      0.106084E+02        0.486260E+02        0.265716E+03        0.101057E+02        0.398094E+02        0.130523E+03        0.455186E+02        0.786056E+02        0.120192E+03     0.234177E-01   0.115088E+01  -0.513548E-01   0.105418E+02   0.168587E-01  -0.922495E+01  -0.254608E+00   0.899381E-02  -0.179588E+00   0.928583E-02  -0.155037E+00      0.156131E+02     0.120000E+02    0.498100E+04
  12  dtl    0.330000E+01   0.133289E+00   0.699265E+00   0.118948E+01   0.117965E+01   0.639870E+01   0.376900E+01   0.419974E+02   0.899936E+02   0.272202E-01      0.106084E+02        0.486260E+02        0.265716E+03        0.101057E+02        0.398094E+02        0.130523E+03        0.455186E+02        0.786056E+02        0.120192E+03     0.234177E-01   0.115088E+01  -0.513548E-01   0.105418E+02   0.168587E-01  -0.922495E+01  -0.254608E+00   0.899381E-02  -0.179588E+00   0.928583E-02  -0.155037E+00      0.156131E+02     0.120000E+02    0.498100E+04
   1  dtl    0.360000E+01   0.136511E+00   0.754437E-01   0.105898E+01   0.102423E+01   0.603561E+01   0.376688E+01   0.340249E+02   0.899051E+02   0.282253E-01      0.851086E+01        0.356487E+02        0.958299E+02        0.851736E+01        0.366939E+02        0.183470E+03        0.394722E+02        0.898250E+02        0.107062E+03    -0.479989E-01  -0.166322E+02  -0.820623E-01   0.215721E+02   0.171144E-01  -0.119895E+02   0.124297E+00   0.902044E-02   0.142164E-01   0.843163E-02  -0.143877E+00      0.121789E+02     0.600000E+01    0.497500E+04
  13  dtl    0.360000E+01   0.136511E+00   0.754437E-01   0.105898E+01   0.102423E+01   0.603561E+01   0.376688E+01   0.340249E+02   0.899051E+02   0.282253E-01      0.851086E+01        0.356487E+02        0.958299E+02        0.851736E+01        0.366939E+02        0.183470E+03        0.394722E+02        0.898250E+02        0.107062E+03    -0.479989E-01  -0.166322E+02  -0.820623E-01   0.215721E+02   0.171144E-01  -0.119895E+02   0.124297E+00   0.902044E-02   0.142164E-01   0.843163E-02  -0.143877E+00      0.121789E+02     0.600000E+01    0.497500E+04
   1  dtl    0.390000E+01   0.140827E+00   0.112314E+00   0.132509E+01   0.131716E+01   0.790824E+01   0.605529E+01   0.330116E+02   0.889211E+02   0.279625E-01      0.146606E+02        0.312196E+02        0.800502E+03        0.126543E+02        0.250953E+02        0.353455E+03        0.388804E+02        0.856199E+02        0.102172E+03     0.152931E-01  -0.298925E+02  -0.172114E+00   0.134316E+02   0.173796E-01  -0.357538E+01   0.933771E-01   0.832611E-02   0.170675E+00   0.953102E-02   0.183277E+00      0.120023E+02     0.800000E+01    0.496700E+04
  14  dtl    0.390000E+01   0.140827E+00   0.112314E+00   0.132509E+01   0.131716E+01   0.790824E+01   0.605529E+01   0.330116E+02   0.889211E+02   0.279625E-01      0.146606E+02        0.312196E+02        0.800502E+03        0.126543E+02        0.250953E+02        0.353455E+03        0.388804E+02        0.856199E+02        0.102172E+03     0.152931E-01  -0.298925E+02  -0.172114E+00   0.134316E+02   0.173796E-01  -0.357538E+01   0.933771E-01   0.832611E-02   0.170675E+00   0.953102E-02   0.183277E+00      0.120023E+02     0.800000E+01    0.496700E+04
   1  dtl    0.420000E+01   0.145317E+00   0.127234E+00   0.130708E+01   0.128949E+01   0.596212E+01   0.680760E+01   0.392466E+02   0.896248E+02   0.277840E-01      0.124653E+02        0.326962E+02        0.323725E+03        0.119213E+02        0.366925E+02        0.160229E+03        0.447187E+02        0.999491E+02        0.136729E+03     0.890321E-01  -0.173329E+02  -0.141226E+00   0.150305E+01   0.176532E-01   0.117075E+01  -0.908845E-01   0.967801E-02  -0.883060E-01   0.984907E-02   0.400721E+00      0.152175E+02     0.140000E+02    0.495300E+04
  15  dtl    0.420000E+01   0.145317E+00   0.127234E+00   0.130708E+01   0.128949E+01   0.596212E+01   0.680760E+01   0.392466E+02   0.896248E+02   0.277840E-01      0.124653E+02        0.326962E+02        0.323725E+03        0.119213E+02        0.366925E+02        0.160229E+03        0.447187E+02        0.999491E+02        0.136729E+03     0.890321E-01  -0.173329E+02  -0.141226E+00   0.150305E+01   0.176532E-01   0.117075E+01  -0.908845E-01   0.967801E-02  -0.883060E-01   0.984907E-02   0.400721E+00      0.152175E+02     0.140000E+02    0.495300E+04
   1  dtl    0.450000E+01   0.149915E+00   0.237371E-01   0.106032E+01   0.102166E+01   0.684741E+01   0.402479E+01   0.405833E+02   0.897643E+02   0.264202E-01      0.983969E+01        0.373260E+02        0.143562E+04        0.100348E+02        0.378058E+02        0.140021E+04        0.482428E+02        0.860452E+02        0.110456E+03     0.577537E-01  -0.315077E+01  -0.369611E-01   0.676474E+01   0.179396E-01   0.430729E+01  -0.181670E+00   0.819914E-02  -0.311212E-01   0.746406E-02  -0.168180E+00      0.155764E+02     0.800000E+01    0.494500E+04
  16  dtl    0.450000E+01   0.149915E+00   0.237371E-01   0.106032E+01   0.102166E+01   0.684741E+01   0.402479E+01   0.405833E+02   0.897643E+02   0.264202E-01      0.983969E+01        0.373260E+02        0.143562E+04        0.100348E+02        0.378058E+02        0.140021E+04        0.482428E+02        0.860452E+02        0.110456E+03     0.577537E-01  -0.315077E+01  -0.369611E-01   0.676474E+01   0.179396E-01   0.430729E+01  -0.181670E+00   0.819914E-02  -0.311212E-01   0.746406E-02  -0.168180E+00      0.155764E+02     0.800000E+01    0.494500E+04
   1  dtl    0.480000E+01   0.155368E+00   0.314419E+00   0.118058E+01   0.119098E+01   0.624494E+01   0.670139E+01   0.310778E+02   0.898208E+02   0.273118E-01      0.115706E+02        0.496722E+02        0.245902E+03        0.109995E+02        0.460002E+02        0.403510E+03        0.383424E+02        0.908535E+02        0.131291E+03    -0.171730E-01  -0.917576E+01  -0.730770E-01   0.208922E+02   0.182365E-01   0.135511E+01   0.299744E-01   0.878685E-02   0.138572E+00   0.940669E-02  -0.298914E+00      0.118764E+02     0.800000E+01    0.493700E+04
  17  dtl    0.480000E+01   0.155368E+00   0.314419E+00   0.118058E+01   0.119098E+01   0.624494E+01   0.670139E+01   0.310778E+02   0.898208E+02   0.273118E-01      0.115706E+02        0.496722E+02        0.245902E+03        0.109995E+02        0.460002E+02        0.403510E+03        0.383424E+02        0.908535E+02        0.131291E+03    -0.171730E-01  -0.917576E+01  -0.730770E-01   0.208922E+02   0.182365E-01   0.135511E+01   0.299744E-01   0.878685E-02   0.138572E+00   0.940669E-02  -0.298914E+00      0.118764E+02     0.800000E+01    0.493700E+04
   1  dtl    0.510000E+01   0.160986E+00   0.510084E+00   0.129710E+01   0.125897E+01   0.629975E+01   0.538907E+01   0.306187E+02   0.895051E+02   0.273872E-01      0.121621E+02        0.382918E+02        0.253588E+03        0.122387E+02        0.439718E+02        0.128950E+03        0.406434E+02        0.921116E+02        0.138931E+03    -0.850554E-02  -0.286740E+02  -0.226827E+00   0.208814E+02   0.185453E-01   0.408113E+01   0.243159E-01   0.102620E-01   0.561179E-01   0.960705E-02   0.109502E+00      0.112468E+02     0.150000E+02    0.492200E+04
  18  dtl    0.510000E+01   0.160986E+00   0.510084E+00   0.129710E+01   0.125897E+01   0.629975E+01   0.538907E+01   0.306187E+02   0.895051E+02   0.273872E-01      0.121621E+02        0.382918E+02        0.253588E+03        0.122387E+02        0.439718E+02        0.128950E+03        0.406434E+02        0.921116E+02        0.138931E+03    -0.850554E-02  -0.286740E+02  -0.226827E+00   0.208814E+02   0.185453E-01   0.408113E+01   0.243159E-01   0.102620E-01   0.561179E-01   0.960705E-02   0.109502E+00      0.112468E+02     0.150000E+02    0.492200E+04
   1  dtl    0.540000E+01   0.166831E+00   0.669231E+00   0.117225E+01   0.113768E+01   0.776479E+01   0.776801E+01   0.353648E+02   0.899600E+02   0.272889E-01      0.110787E+02        0.455085E+02        0.623404E+03        0.103508E+02        0.455196E+02        0.288099E+03        0.467788E+02        0.108027E+03        0.168004E+03     0.105336E+00  -0.272739E+02  -0.186328E+00   0.460702E+01   0.188640E-01   0.452797E+01  -0.877852E-01   0.935934E-02  -0.113042E+00   0.943548E-02   0.288435E+00      0.134877E+02     0.130000E+02    0.490900E+04
  19  dtl    0.540000E+01   0.166831E+00   0.669231E+00   0.117225E+01   0.113768E+01   0.776479E+01   0.776801E+01   0.353648E+02   0.899600E+02   0.272889E-01      0.110787E+02        0.455085E+02        0.623404E+03        0.103508E+02        0.455196E+02        0.288099E+03        0.467788E+02        0.108027E+03        0.168004E+03     0.105336E+00  -0.272739E+02  -0.186328E+00   0.460702E+01   0.188640E-01   0.452797E+01  -0.877852E-01   0.935934E-02  -0.113042E+00   0.943548E-02   0.288435E+00      0.134877E+02     0.130000E+02    0.490900E+04
   1  dtl    0.570000E+01   0.172744E+00   0.677481E+00   0.106532E+01   0.107495E+01   0.561549E+01   0.722923E+01   0.365122E+02   0.899000E+02   0.263018E-01      0.912101E+01        0.417375E+02        0.304653E+03        0.896897E+01        0.366121E+02        0.176870E+03        0.498223E+02        0.107180E+03        0.139195E+03     0.135320E+00  -0.652532E+01  -0.754948E-01  -0.617561E+01   0.191947E-01  -0.219087E+01  -0.965809E-01   0.955340E-02  -0.139456E-02   0.989184E-02  -0.116672E+00      0.139762E+02     0.110000E+02    0.489800E+04
  20  dtl    0.570000E+01   0.172744E+00   0.677481E+00   0.106532E+01   0.107495E+01   0.561549E+01   0.722923E+01   0.365122E+02   0.899000E+02   0.263018E-01      0.912101E+01        0.417375E+02        0.304653E+03        0.896897E+01        0.366121E+02        0.176870E+03        0.498223E+02        0.107180E+03        0.139195E+03     0.135320E+00  -0.652532E+01  -0.754948E-01  -0.617561E+01   0.191947E-01  -0.219087E+01  -0.965809E-01   0.955340E-02  -0.139456E-02   0.989184E-02  -0.116672E+00      0.139762E+02     0.110000E+02    0.489800E+04
   1  dtl    0.600000E+01   0.178055E+00   0.154720E+00   0.119385E+01   0.120088E+01   0.747446E+01   0.444930E+01   0.285942E+02   0.898345E+02   0.270652E-01      0.113652E+02        0.461795E+02        0.109430E+03        0.123423E+02        0.424374E+02        0.785878E+03        0.415334E+02        0.108484E+03        0.142555E+03     0.657726E-01   0.448655E+00  -0.375423E-02   0.115212E+02   0.195383E-01  -0.278590E+01   0.845332E-01   0.980092E-02  -0.975736E-02   0.913165E-02  -0.129980E+00      0.106538E+02     0.120000E+02    0.488600E+04
  21  dtl    0.600000E+01   0.178055E+00   0.154720E+00   0.119385E+01   0.120088E+01   0.747446E+01   0.444930E+01   0.285942E+02   0.898345E+02   0.270652E-01      0.113652E+02        0.461795E+02        0.109430E+03        0.123423E+02        0.424374E+02        0.785878E+03        0.415334E+02        0.108484E+03        0.142555E+03     0.657726E-01   0.448655E+00  -0.375423E-02   0.115212E+02   0.195383E-01  -0.278590E+01   0.845332E-01   0.980092E-02  -0.975736E-02   0.913165E-02  -0.129980E+00      0.106538E+02     0.120000E+02    0.488600E+04
   1  dtl    0.630000E+01   0.184147E+00  -0.105913E+00   0.117088E+01   0.121807E+01   0.578569E+01   0.729008E+01   0.269194E+02   0.899004E+02   0.268849E-01      0.113480E+02        0.414916E+02        0.145075E+03        0.116763E+02        0.375454E+02        0.191558E+03        0.403221E+02        0.913043E+02        0.160747E+03    -0.288356E-01  -0.128645E+02  -0.840671E-01   0.266671E+02   0.198957E-01   0.217007E+01  -0.337440E-01   0.961454E-02   0.219514E-01   0.101126E-01   0.120331E+00      0.100851E+02     0.900000E+01    0.487700E+04
  22  dtl    0.630000E+01   0.184147E+00  -0.105913E+00   0.117088E+01   0.121807E+01   0.578569E+01   0.729008E+01   0.269194E+02   0.899004E+02   0.268849E-01      0.113480E+02        0.414916E+02        0.145075E+03        0.116763E+02        0.375454E+02        0.191558E+03        0.403221E+02        0.913043E+02        0.160747E+03    -0.288356E-01  -0.128645E+02  -0.840671E-01   0.266671E+02   0.198957E-01   0.217007E+01  -0.337440E-01   0.961454E-02   0.219514E-01   0.101126E-01   0.120331E+00      0.100851E+02     0.900000E+01    0.487700E+04
   1  dtl    0.660000E+01   0.191825E+00   0.313748E+00   0.107783E+01   0.112956E+01   0.475573E+01   0.690497E+01   0.311462E+02   0.895336E+02   0.271641E-01      0.104385E+02        0.441697E+02        0.250964E+03        0.110263E+02        0.505808E+02        0.609408E+03        0.483670E+02        0.110253E+03        0.174451E+03     0.484680E-01  -0.301678E+02  -0.216930E+00   0.119291E+02   0.202637E-01   0.510448E+01  -0.114683E-01   0.902080E-02   0.132847E-01   0.937929E-02   0.191980E+00      0.116753E+02     0.800000E+01    0.486900E+04
  23  dtl    0.660000E+01   0.191825E+00   0.313748E+00   0.107783E+01   0.112956E+01   0.475573E+01   0.690497E+01   0.311462E+02   0.895336E+02   0.271641E-01      0.104385E+02        0.441697E+02        0.250964E+03        0.110263E+02        0.505808E+02        0.609408E+03        0.483670E+02        0.110253E+03        0.174451E+03     0.484680E-01  -0.301678E+02  -0.216930E+00   0.119291E+02   0.202637E-01   0.510448E+01  -0.114683E-01   0.902080E-02   0.132847E-01   0.937929E-02   0.191980E+00      0.116753E+02     0.800000E+01    0.486900E+04
