n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.4[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.4[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.4[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   1  dtl    0.690000E+01   0.199848E+00   0.697210E+00   0.113055E+01   0.119218E+01   0.432218E+01   0.813522E+01   0.311891E+02   0.889289E+02   0.271226E-01      0.125148E+02        0.435612E+02        0.990026E+03        0.113963E+02        0.423751E+02        0.336310E+03        0.510127E+02        0.106805E+03        0.133340E+03     0.429805E-01  -0.135487E+02  -0.132079E+00  -0.201628E+01   0.206438E-01   0.299553E+01   0.355609E-01   0.843336E-02   0.877678E-02   0.102984E-01  -0.608934E-01      0.115206E+02     0.130000E+02    0.485600E+04
  24  dtl    0.690000E+01   0.199848E+00   0.697210E+00   0.113055E+01   0.119218E+01   0.432218E+01   0.813522E+01   0.311891E+02   0.889289E+02   0.271226E-01      0.125148E+02        0.435612E+02        0.990026E+03        0.113963E+02        0.423751E+02        0.336310E+03        0.510127E+02        0.106805E+03        0.133340E+03     0.429805E-01  -0.135487E+02  -0.132079E+00  -0.201628E+01   0.206438E-01   0.299553E+01   0.355609E-01   0.843336E-02   0.877678E-02   0.102984E-01  -0.608934E-01      0.115206E+02     0.130000E+02    0.485600E+04
   1  dtl    0.720000E+01   0.207506E+00   0.684424E+00   0.117277E+01   0.114267E+01   0.630909E+01   0.510559E+01   0.255332E+02   0.898324E+02   0.275450E-01      0.113347E+02        0.476256E+02        0.121805E+03        0.119924E+02        0.507752E+02        0.695550E+03        0.439929E+02        0.114760E+03        0.143092E+03    -0.653271E-01  -0.872149E+01  -0.968798E-01   0.172716E+02   0.210370E-01  -0.102491E+01  -0.249176E-01   0.102107E-01  -0.104356E+00   0.916184E-02  -0.774602E-01      0.929743E+01     0.110000E+02    0.484500E+04
  25  dtl    0.720000E+01   0.207506E+00   0.684424E+00   0.117277E+01   0.114267E+01   0.630909E+01   0.510559E+01   0.255332E+02   0.898324E+02   0.275450E-01      0.113347E+02        0.476256E+02        0.121805E+03        0.119924E+02        0.507752E+02        0.695550E+03        0.439929E+02        0.114760E+03        0.143092E+03    -0.653271E-01  -0.872149E+01  -0.968798E-01   0.172716E+02   0.210370E-01  -0.102491E+01  -0.249176E-01   0.102107E-01  -0.104356E+00   0.916184E-02  -0.774602E-01      0.929743E+01     0.110000E+02    0.484500E+04
   1  dtl    0.750000E+01   0.215495E+00   0.625541E+00   0.113748E+01   0.109753E+01   0.500549E+01   0.453321E+01   0.254948E+02   0.895464E+02   0.270788E-01      0.107754E+02        0.439006E+02        0.693532E+02        0.100872E+02        0.454479E+02        0.672306E+02        0.445922E+02        0.132954E+03        0.178701E+03     0.125113E-02  -0.138574E+02  -0.156082E+00   0.193414E+02   0.214444E-01  -0.916974E+00   0.423550E-01   0.102998E-01   0.440246E-01   0.102432E-01   0.136622E+00      0.950251E+01     0.160000E+02    0.482900E+04
  26  dtl    0.750000E+01   0.215495E+00   0.625541E+00   0.113748E+01   0.109753E+01   0.500549E+01   0.453321E+01   0.254948E+02   0.895464E+02   0.270788E-01      0.107754E+02        0.439006E+02        0.693532E+02        0.100872E+02        0.454479E+02        0.672306E+02        0.445922E+02        0.132954E+03        0.178701E+03     0.125113E-02  -0.138574E+02  -0.156082E+00   0.193414E+02   0.214444E-01  -0.916974E+00   0.423550E-01   0.102998E-01   0.440246E-01   0.102432E-01   0.136622E+00      0.950251E+01     0.160000E+02    0.482900E+04
   1  dtl    0.780000E+01   0.219991E+00   0.161780E+00   0.117743E+01   0.114083E+01   0.543971E+01   0.490212E+01   0.290574E+02   0.896401E+02   0.263296E-01      0.113792E+02        0.501458E+02        0.855730E+02        0.116444E+02        0.512440E+02        0.808264E+02        0.511528E+02        0.126748E+03        0.166774E+03     0.495593E-01  -0.308555E+02  -0.242290E+00   0.760430E+01   0.217171E-01  -0.136956E+01   0.711286E-02   0.105832E-01  -0.550390E-02   0.970918E-02   0.107787E-02      0.110360E+02     0.180000E+02    0.481100E+04
  27  dtl    0.780000E+01   0.219991E+00   0.161780E+00   0.117743E+01   0.114083E+01   0.543971E+01   0.490212E+01   0.290574E+02   0.896401E+02   0.263296E-01      0.113792E+02        0.501458E+02        0.855730E+02        0.116444E+02        0.512440E+02        0.808264E+02        0.511528E+02        0.126748E+03        0.166774E+03     0.495593E-01  -0.308555E+02  -0.242290E+00   0.760430E+01   0.217171E-01  -0.136956E+01   0.711286E-02   0.105832E-01  -0.550390E-02   0.970918E-02   0.107787E-02      0.110360E+02     0.180000E+02    0.481100E+04
   1  dtl    0.810000E+01   0.223207E+00  -0.269153E+00   0.115665E+01   0.122193E+01   0.468152E+01   0.727114E+01   0.250402E+02   0.894063E+02   0.265653E-01      0.123730E+02        0.510331E+02        0.264420E+03        0.124248E+02        0.562369E+02        0.562369E+03        0.453093E+02        0.123880E+03        0.147828E+03     0.178787E+00  -0.118754E+02  -0.152229E+00  -0.115640E+02   0.219225E-01  -0.102312E+01   0.280985E-01   0.948153E-02  -0.123294E+00   0.105380E-01  -0.222447E-01      0.942826E+01     0.400000E+01    0.480700E+04
  28  dtl    0.810000E+01   0.223207E+00  -0.269153E+00   0.115665E+01   0.122193E+01   0.468152E+01   0.727114E+01   0.250402E+02   0.894063E+02   0.265653E-01      0.123730E+02        0.510331E+02        0.264420E+03        0.124248E+02        0.562369E+02        0.562369E+03        0.453093E+02        0.123880E+03        0.147828E+03     0.178787E+00  -0.118754E+02  -0.152229E+00  -0.115640E+02   0.219225E-01  -0.102312E+01   0.280985E-01   0.948153E-02  -0.123294E+00   0.105380E-01  -0.222447E-01      0.942826E+01     0.400000E+01    0.480700E+04
   1  dtl    0.840000E+01   0.227255E+00  -0.695111E-01   0.111428E+01   0.107926E+01   0.457396E+01   0.520697E+01   0.239316E+02   0.899834E+02   0.269806E-01      0.115025E+02        0.555316E+02        0.272214E+03        0.104934E+02        0.471011E+02        0.763390E+02        0.446377E+02        0.145226E+03        0.191845E+03     0.210380E-01  -0.451734E+01  -0.106664E+00   0.110221E+02   0.220983E-01   0.339523E+01   0.243206E-01   0.954153E-02  -0.946930E-01   0.981190E-02  -0.526471E-01      0.888221E+01     0.800000E+01    0.479900E+04
  29  dtl    0.840000E+01   0.227255E+00  -0.695111E-01   0.111428E+01   0.107926E+01   0.457396E+01   0.520697E+01   0.239316E+02   0.899834E+02   0.269806E-01      0.115025E+02        0.555316E+02        0.272214E+03        0.104934E+02        0.471011E+02        0.763390E+02        0.446377E+02        0.145226E+03        0.191845E+03     0.210380E-01  -0.451734E+01  -0.106664E+00   0.110221E+02   0.220983E-01   0.339523E+01   0.243206E-01   0.954153E-02  -0.946930E-01   0.981190E-02  -0.526471E-01      0.888221E+01     0.800000E+01    0.479900E+04
   1  dtl    0.870000E+01   0.231582E+00   0.340512E+00   0.114426E+01   0.114024E+01   0.577960E+01   0.515636E+01   0.257209E+02   0.896667E+02   0.264764E-01      0.117660E+02        0.513272E+02        0.270143E+03        0.122199E+02        0.628894E+02        0.217610E+03        0.478292E+02        0.129937E+03        0.185625E+03    -0.108869E+00  -0.245599E+02  -0.279398E+00   0.258783E+02   0.222621E-01   0.156298E+01   0.713976E-01   0.990926E-02   0.192176E-01   0.947432E-02  -0.258799E-01      0.971789E+01     0.700000E+01    0.479200E+04
  30  dtl    0.870000E+01   0.231582E+00   0.340512E+00   0.114426E+01   0.114024E+01   0.577960E+01   0.515636E+01   0.257209E+02   0.896667E+02   0.264764E-01      0.117660E+02        0.513272E+02        0.270143E+03        0.122199E+02        0.628894E+02        0.217610E+03        0.478292E+02        0.129937E+03        0.185625E+03    -0.108869E+00  -0.245599E+02  -0.279398E+00   0.258783E+02   0.222621E-01   0.156298E+01   0.713976E-01   0.990926E-02   0.192176E-01   0.947432E-02  -0.258799E-01      0.971789E+01     0.700000E+01    0.479200E+04
   1  dtl    0.900000E+01   0.235206E+00   0.508431E+00   0.117572E+01   0.120189E+01   0.451898E+01   0.501514E+01   0.249189E+02   0.886060E+02   0.273597E-01      0.120524E+02        0.467973E+02        0.104692E+03        0.124895E+02        0.545606E+02        0.647988E+02        0.485639E+02        0.140983E+03        0.184051E+03     0.466271E-01  -0.245236E+02  -0.229326E+00   0.692817E+00   0.224169E-01   0.273507E+00  -0.109737E+00   0.102841E-01   0.120775E-01   0.103709E-01   0.130099E-01      0.910868E+01     0.900000E+01    0.478300E+04
  31  dtl    0.900000E+01   0.235206E+00   0.508431E+00   0.117572E+01   0.120189E+01   0.451898E+01   0.501514E+01   0.249189E+02   0.886060E+02   0.273597E-01      0.120524E+02        0.467973E+02        0.104692E+03        0.124895E+02        0.545606E+02        0.647988E+02        0.485639E+02        0.140983E+03        0.184051E+03     0.466271E-01  -0.245236E+02  -0.229326E+00   0.692817E+00   0.224169E-01   0.273507E+00  -0.109737E+00   0.102841E-01   0.120775E-01   0.103709E-01   0.130099E-01      0.910868E+01     0.900000E+01    0.478300E+04
   1  dtl    0.930000E+01   0.238264E+00   0.450912E+00   0.104687E+01   0.107100E+01   0.566261E+01   0.555615E+01   0.236808E+02   0.844692E+02   0.271412E-01      0.102867E+02        0.502562E+02        0.212051E+03        0.105607E+02        0.526697E+02        0.185457E+03        0.464082E+02        0.128636E+03        0.169481E+03     0.894241E-01  -0.504163E+01  -0.134787E+00  -0.236254E+01   0.225686E-01  -0.810534E+00  -0.237131E-01   0.961778E-02  -0.831595E-01   0.980508E-02   0.152496E-02      0.872505E+01     0.110000E+02    0.477200E+04
  32  dtl    0.930000E+01   0.238264E+00   0.450912E+00   0.104687E+01   0.107100E+01   0.566261E+01   0.555615E+01   0.236808E+02   0.844692E+02   0.271412E-01      0.102867E+02        0.502562E+02        0.212051E+03        0.105607E+02        0.526697E+02        0.185457E+03        0.464082E+02        0.128636E+03        0.169481E+03     0.894241E-01  -0.504163E+01  -0.134787E+00  -0.236254E+01   0.225686E-01  -0.810534E+00  -0.237131E-01   0.961778E-02  -0.831595E-01   0.980508E-02   0.152496E-02      0.872505E+01     0.110000E+02    0.477200E+04
   1  dtl    0.960000E+01   0.240859E+00   0.153593E+00   0.111313E+01   0.114696E+01   0.445045E+01   0.697191E+01   0.252283E+02   0.895671E+02   0.271975E-01      0.120927E+02        0.543984E+02        0.115741E+03        0.116756E+02        0.462857E+02        0.215282E+03        0.501612E+02        0.145094E+03        0.175023E+03    -0.338420E-01  -0.601454E+01  -0.141895E+00   0.155194E+02   0.227248E-01  -0.102279E+01   0.627427E-01   0.931387E-02   0.273190E-01   0.102419E-01  -0.530050E-01      0.928897E+01     0.100000E+02    0.476200E+04
  33  dtl    0.960000E+01   0.240859E+00   0.153593E+00   0.111313E+01   0.114696E+01   0.445045E+01   0.697191E+01   0.252283E+02   0.895671E+02   0.271975E-01      0.120927E+02        0.543984E+02        0.115741E+03        0.116756E+02        0.462857E+02        0.215282E+03        0.501612E+02        0.145094E+03        0.175023E+03    -0.338420E-01  -0.601454E+01  -0.141895E+00   0.155194E+02   0.227248E-01  -0.102279E+01   0.627427E-01   0.931387E-02   0.273190E-01   0.102419E-01  -0.530050E-01      0.928897E+01     0.100000E+02    0.476200E+04
   1  dtl    0.990000E+01   0.243953E+00   0.120649E+00   0.122763E+01   0.114527E+01   0.698413E+01   0.480850E+01   0.240164E+02   0.880957E+02   0.277518E-01      0.140853E+02        0.536693E+02        0.838583E+03        0.140146E+02        0.496978E+02        0.112949E+04        0.494356E+02        0.157817E+03        0.195803E+03    -0.753162E-01  -0.297776E+02  -0.329912E+00   0.189713E+02   0.228741E-01   0.159422E+01  -0.120247E+00   0.978986E-02   0.487135E-01   0.856326E-02   0.540316E-02      0.865411E+01     0.600000E+01    0.475600E+04
  34  dtl    0.990000E+01   0.243953E+00   0.120649E+00   0.122763E+01   0.114527E+01   0.698413E+01   0.480850E+01   0.240164E+02   0.880957E+02   0.277518E-01      0.140853E+02        0.536693E+02        0.838583E+03        0.140146E+02        0.496978E+02        0.112949E+04        0.494356E+02        0.157817E+03        0.195803E+03    -0.753162E-01  -0.297776E+02  -0.329912E+00   0.189713E+02   0.228741E-01   0.159422E+01  -0.120247E+00   0.978986E-02   0.487135E-01   0.856326E-02   0.540316E-02      0.865411E+01     0.600000E+01    0.475600E+04
   1  dtl    0.102000E+02   0.247859E+00   0.384250E+00   0.107134E+01   0.107250E+01   0.537817E+01   0.509205E+01   0.224790E+02   0.808961E+02   0.271289E-01      0.109081E+02        0.508823E+02        0.186382E+03        0.110724E+02        0.521021E+02        0.135330E+03        0.456649E+02        0.111591E+03        0.157391E+03     0.336743E-01  -0.244927E+02  -0.292785E+00  -0.203669E+01   0.230262E-01   0.251565E+01  -0.675554E-01   0.969150E-02   0.337691E-01   0.956828E-02   0.868152E-01      0.831719E+01     0.700000E+01    0.474900E+04
  35  dtl    0.102000E+02   0.247859E+00   0.384250E+00   0.107134E+01   0.107250E+01   0.537817E+01   0.509205E+01   0.224790E+02   0.808961E+02   0.271289E-01      0.109081E+02        0.508823E+02        0.186382E+03        0.110724E+02        0.521021E+02        0.135330E+03        0.456649E+02        0.111591E+03        0.157391E+03     0.336743E-01  -0.244927E+02  -0.292785E+00  -0.203669E+01   0.230262E-01   0.251565E+01  -0.675554E-01   0.969150E-02   0.337691E-01   0.956828E-02   0.868152E-01      0.831719E+01     0.700000E+01    0.474900E+04
   1  dtl    0.105000E+02   0.251419E+00   0.475550E+00   0.113890E+01   0.115238E+01   0.579663E+01   0.577179E+01   0.243343E+02   0.853528E+02   0.265094E-01      0.126919E+02        0.542568E+02        0.303111E+03        0.124863E+02        0.620717E+02        0.177348E+03        0.490999E+02        0.142615E+03        0.170592E+03    -0.191277E-01  -0.584547E+01  -0.172206E+00   0.524077E+01   0.231805E-01   0.738863E+00   0.933383E-01   0.947609E-02   0.259906E-01   0.986146E-02  -0.395654E-01      0.918669E+01     0.800000E+01    0.474100E+04
  36  dtl    0.105000E+02   0.251419E+00   0.475550E+00   0.113890E+01   0.115238E+01   0.579663E+01   0.577179E+01   0.243343E+02   0.853528E+02   0.265094E-01      0.126919E+02        0.542568E+02        0.303111E+03        0.124863E+02        0.620717E+02        0.177348E+03        0.490999E+02        0.142615E+03        0.170592E+03    -0.191277E-01  -0.584547E+01  -0.172206E+00   0.524077E+01   0.231805E-01   0.738863E+00   0.933383E-01   0.947609E-02   0.259906E-01   0.986146E-02  -0.395654E-01      0.918669E+01     0.800000E+01    0.474100E+04
   1  dtl    0.108000E+02   0.256568E+00   0.373421E+00   0.120753E+01   0.114461E+01   0.462513E+01   0.509349E+01   0.233498E+02   0.892379E+02   0.265997E-01      0.132653E+02        0.529923E+02        0.120437E+03        0.140827E+02        0.501252E+02        0.108968E+04        0.483264E+02        0.148934E+03        0.202082E+03    -0.145783E+00  -0.158539E+02  -0.213411E+00   0.235312E+02   0.234286E-01  -0.874512E+00  -0.270546E-01   0.103012E-01  -0.747302E-01   0.871837E-02  -0.105808E-01      0.877870E+01     0.300000E+01    0.473800E+04
  37  dtl    0.108000E+02   0.256568E+00   0.373421E+00   0.120753E+01   0.114461E+01   0.462513E+01   0.509349E+01   0.233498E+02   0.892379E+02   0.265997E-01      0.132653E+02        0.529923E+02        0.120437E+03        0.140827E+02        0.501252E+02        0.108968E+04        0.483264E+02        0.148934E+03        0.202082E+03    -0.145783E+00  -0.158539E+02  -0.213411E+00   0.235312E+02   0.234286E-01  -0.874512E+00  -0.270546E-01   0.103012E-01  -0.747302E-01   0.871837E-02  -0.105808E-01      0.877870E+01     0.300000E+01    0.473800E+04
   1  dtl    0.111000E+02   0.262570E+00   0.167864E+00   0.106967E+01   0.105297E+01   0.485375E+01   0.869966E+01   0.220685E+02   0.869471E+02   0.270910E-01      0.135398E+02        0.648493E+02        0.876341E+03        0.118520E+02        0.655154E+02        0.394671E+03        0.477033E+02        0.144718E+03        0.209433E+03    -0.372276E-01  -0.234334E+02  -0.261242E+00   0.767762E+01   0.237254E-01  -0.104830E+01  -0.626286E-01   0.801983E-02   0.590044E-01   0.887801E-02   0.117896E-01      0.814663E+01     0.700000E+01    0.473100E+04
  38  dtl    0.111000E+02   0.262570E+00   0.167864E+00   0.106967E+01   0.105297E+01   0.485375E+01   0.869966E+01   0.220685E+02   0.869471E+02   0.270910E-01      0.135398E+02        0.648493E+02        0.876341E+03        0.118520E+02        0.655154E+02        0.394671E+03        0.477033E+02        0.144718E+03        0.209433E+03    -0.372276E-01  -0.234334E+02  -0.261242E+00   0.767762E+01   0.237254E-01  -0.104830E+01  -0.626286E-01   0.801983E-02   0.590044E-01   0.887801E-02   0.117896E-01      0.814663E+01     0.700000E+01    0.473100E+04
   1  dtl    0.114000E+02   0.269515E+00   0.844672E-01   0.104909E+01   0.110370E+01   0.578050E+01   0.510754E+01   0.220745E+02   0.872790E+02   0.262767E-01      0.109228E+02        0.531031E+02        0.838911E+02        0.114556E+02        0.543476E+02        0.131275E+03        0.475418E+02        0.121090E+03        0.219765E+03    -0.164968E-01  -0.129123E+02  -0.199871E+00   0.402766E+01   0.240472E-01   0.541617E+00   0.566458E-01   0.969215E-02   0.106010E+00   0.102285E-01   0.175751E-01      0.840210E+01     0.100000E+02    0.472100E+04
  39  dtl    0.114000E+02   0.269515E+00   0.844672E-01   0.104909E+01   0.110370E+01   0.578050E+01   0.510754E+01   0.220745E+02   0.872790E+02   0.262767E-01      0.109228E+02        0.531031E+02        0.838911E+02        0.114556E+02        0.543476E+02        0.131275E+03        0.475418E+02        0.121090E+03        0.219765E+03    -0.164968E-01  -0.129123E+02  -0.199871E+00   0.402766E+01   0.240472E-01   0.541617E+00   0.566458E-01   0.969215E-02   0.106010E+00   0.102285E-01   0.175751E-01      0.840210E+01     0.100000E+02    0.472100E+04
   1  dtl    0.117000E+02   0.277255E+00   0.135951E+00   0.116846E+01   0.118296E+01   0.507867E+01   0.580580E+01   0.226884E+02   0.897742E+02   0.272671E-01      0.152685E+02        0.815112E+02        0.121659E+04        0.145032E+02        0.820812E+02        0.385358E+03        0.521048E+02        0.191232E+03        0.248354E+03    -0.136569E+00  -0.810498E+01  -0.183721E+00   0.189094E+02   0.243838E-01   0.197819E+01  -0.143979E-01   0.872157E-02  -0.229335E-01   0.941097E-02  -0.383542E-01      0.832691E+01     0.300000E+01    0.471800E+04
  40  dtl    0.117000E+02   0.277255E+00   0.135951E+00   0.116846E+01   0.118296E+01   0.507867E+01   0.580580E+01   0.226884E+02   0.897742E+02   0.272671E-01      0.152685E+02        0.815112E+02        0.121659E+04        0.145032E+02        0.820812E+02        0.385358E+03        0.521048E+02        0.191232E+03        0.248354E+03    -0.136569E+00  -0.810498E+01  -0.183721E+00   0.189094E+02   0.243838E-01   0.197819E+01  -0.143979E-01   0.872157E-02  -0.229335E-01   0.941097E-02  -0.383542E-01      0.832691E+01     0.300000E+01    0.471800E+04
   1  dtl    0.120000E+02   0.285711E+00   0.313962E+00   0.107637E+01   0.107536E+01   0.528024E+01   0.652035E+01   0.210730E+02   0.855136E+02   0.276212E-01      0.120345E+02        0.703410E+02        0.159143E+03        0.117735E+02        0.591988E+02        0.138964E+03        0.504412E+02        0.166157E+03        0.252135E+03    -0.152990E+00  -0.224547E+02  -0.258404E+00   0.230558E+02   0.247309E-01   0.231210E+01  -0.536812E-01   0.952356E-02  -0.938218E-01   0.971635E-02   0.314119E-01      0.763303E+01     0.500000E+01    0.471300E+04
  41  dtl    0.120000E+02   0.285711E+00   0.313962E+00   0.107637E+01   0.107536E+01   0.528024E+01   0.652035E+01   0.210730E+02   0.855136E+02   0.276212E-01      0.120345E+02        0.703410E+02        0.159143E+03        0.117735E+02        0.591988E+02        0.138964E+03        0.504412E+02        0.166157E+03        0.252135E+03    -0.152990E+00  -0.224547E+02  -0.258404E+00   0.230558E+02   0.247309E-01   0.231210E+01  -0.536812E-01   0.952356E-02  -0.938218E-01   0.971635E-02   0.314119E-01      0.763303E+01     0.500000E+01    0.471300E+04
   1  dtl    0.123000E+02   0.294669E+00   0.545341E+00   0.106362E+01   0.105551E+01   0.631784E+01   0.874551E+01   0.217813E+02   0.876972E+02   0.269161E-01      0.129414E+02        0.565788E+02        0.141447E+04        0.136608E+02        0.615283E+02        0.161917E+04        0.522839E+02        0.184153E+03        0.273224E+03    -0.929197E-01  -0.240672E+02  -0.269490E+00   0.629311E+01   0.250868E-01   0.101163E+01   0.889615E-01   0.877199E-02  -0.285568E-01   0.818372E-02   0.275915E-01      0.809536E+01     0.500000E+01    0.470800E+04
  42  dtl    0.123000E+02   0.294669E+00   0.545341E+00   0.106362E+01   0.105551E+01   0.631784E+01   0.874551E+01   0.217813E+02   0.876972E+02   0.269161E-01      0.129414E+02        0.565788E+02        0.141447E+04        0.136608E+02        0.615283E+02        0.161917E+04        0.522839E+02        0.184153E+03        0.273224E+03    -0.929197E-01  -0.240672E+02  -0.269490E+00   0.629311E+01   0.250868E-01   0.101163E+01   0.889615E-01   0.877199E-02  -0.285568E-01   0.818372E-02   0.275915E-01      0.809536E+01     0.500000E+01    0.470800E+04
   1  dtl    0.126000E+02   0.303132E+00   0.496818E+00   0.114674E+01   0.116030E+01   0.560724E+01   0.647321E+01   0.201457E+02   0.891023E+02   0.269156E-01      0.134334E+02        0.666224E+02        0.296100E+03        0.134913E+02        0.597742E+02        0.171765E+03        0.497857E+02        0.191356E+03        0.243146E+03    -0.756439E-01  -0.624796E+01  -0.133036E+00   0.625106E+01   0.254507E-01  -0.162749E+01  -0.825450E-01   0.996555E-02   0.365401E-01   0.101589E-01  -0.109817E-01      0.748522E+01     0.110000E+02    0.469700E+04
  43  dtl    0.126000E+02   0.303132E+00   0.496818E+00   0.114674E+01   0.116030E+01   0.560724E+01   0.647321E+01   0.201457E+02   0.891023E+02   0.269156E-01      0.134334E+02        0.666224E+02        0.296100E+03        0.134913E+02        0.597742E+02        0.171765E+03        0.497857E+02        0.191356E+03        0.243146E+03    -0.756439E-01  -0.624796E+01  -0.133036E+00   0.625106E+01   0.254507E-01  -0.162749E+01  -0.825450E-01   0.996555E-02   0.365401E-01   0.101589E-01  -0.109817E-01      0.748522E+01     0.110000E+02    0.469700E+04
   1  dtl    0.129000E+02   0.311014E+00   0.163099E+00   0.102627E+01   0.108423E+01   0.551604E+01   0.554544E+01   0.197312E+02   0.894858E+02   0.266858E-01      0.119979E+02        0.634984E+02        0.219718E+03        0.115604E+02        0.593409E+02        0.133952E+03        0.497631E+02        0.198740E+03        0.269661E+03    -0.173850E+00  -0.106540E+02  -0.133358E+00   0.203869E+02   0.258225E-01  -0.127097E+01  -0.656843E-01   0.906724E-02  -0.448369E-01   0.105035E-01  -0.173177E-01      0.739501E+01     0.100000E+02    0.468700E+04
  44  dtl    0.129000E+02   0.311014E+00   0.163099E+00   0.102627E+01   0.108423E+01   0.551604E+01   0.554544E+01   0.197312E+02   0.894858E+02   0.266858E-01      0.119979E+02        0.634984E+02        0.219718E+03        0.115604E+02        0.593409E+02        0.133952E+03        0.497631E+02        0.198740E+03        0.269661E+03    -0.173850E+00  -0.106540E+02  -0.133358E+00   0.203869E+02   0.258225E-01  -0.127097E+01  -0.656843E-01   0.906724E-02  -0.448369E-01   0.105035E-01  -0.173177E-01      0.739501E+01     0.100000E+02    0.468700E+04
   1  dtl    0.132000E+02   0.319524E+00  -0.563867E-01   0.105748E+01   0.999765E+00   0.573215E+01   0.608680E+01   0.199283E+02   0.869949E+02   0.270750E-01      0.114007E+02        0.665526E+02        0.119915E+03        0.112029E+02        0.638298E+02        0.127915E+03        0.524754E+02        0.194957E+03        0.274202E+03    -0.175856E+00  -0.210981E+02  -0.212806E+00   0.222982E+02   0.262021E-01   0.972071E+00   0.245139E-01   0.102803E-01   0.222583E-01   0.935111E-02  -0.369764E-01      0.736542E+01     0.500000E+01    0.468200E+04
  45  dtl    0.132000E+02   0.319524E+00  -0.563867E-01   0.105748E+01   0.999765E+00   0.573215E+01   0.608680E+01   0.199283E+02   0.869949E+02   0.270750E-01      0.114007E+02        0.665526E+02        0.119915E+03        0.112029E+02        0.638298E+02        0.127915E+03        0.524754E+02        0.194957E+03        0.274202E+03    -0.175856E+00  -0.210981E+02  -0.212806E+00   0.222982E+02   0.262021E-01   0.972071E+00   0.245139E-01   0.102803E-01   0.222583E-01   0.935111E-02  -0.369764E-01      0.736542E+01     0.500000E+01    0.468200E+04
   1  dtl    0.135000E+02   0.329921E+00   0.208410E+00   0.110496E+01   0.104077E+01   0.668741E+01   0.545577E+01   0.190765E+02   0.892545E+02   0.262726E-01      0.121459E+02        0.495927E+02        0.158951E+03        0.121932E+02        0.678173E+02        0.269116E+03        0.502281E+02        0.195245E+03        0.297177E+03    -0.151379E+00  -0.254655E+02  -0.244467E+00   0.146110E+02   0.265899E-01   0.128428E+01   0.299030E-01   0.106915E-01   0.576492E-03   0.944866E-02  -0.108410E-01      0.726141E+01     0.100000E+02    0.467200E+04
  46  dtl    0.135000E+02   0.329921E+00   0.208410E+00   0.110496E+01   0.104077E+01   0.668741E+01   0.545577E+01   0.190765E+02   0.892545E+02   0.262726E-01      0.121459E+02        0.495927E+02        0.158951E+03        0.121932E+02        0.678173E+02        0.269116E+03        0.502281E+02        0.195245E+03        0.297177E+03    -0.151379E+00  -0.254655E+02  -0.244467E+00   0.146110E+02   0.265899E-01   0.128428E+01   0.299030E-01   0.106915E-01   0.576492E-03   0.944866E-02  -0.108410E-01      0.726141E+01     0.100000E+02    0.467200E+04
   1  dtl    0.138000E+02   0.340538E+00   0.468442E+00   0.104223E+01   0.102637E+01   0.511419E+01   0.492108E+01   0.193836E+02   0.875001E+02   0.265094E-01      0.118252E+02        0.504478E+02        0.151041E+03        0.113446E+02        0.488770E+02        0.153701E+03        0.530182E+02        0.205346E+03        0.281681E+03    -0.159835E+00  -0.131682E+02  -0.143568E+00   0.119963E+02   0.269794E-01   0.107090E+01  -0.113735E+00   0.991305E-02   0.494440E-01   0.100210E-01  -0.709041E-02      0.731216E+01     0.500000E+01    0.466700E+04
  47  dtl    0.138000E+02   0.340538E+00   0.468442E+00   0.104223E+01   0.102637E+01   0.511419E+01   0.492108E+01   0.193836E+02   0.875001E+02   0.265094E-01      0.118252E+02        0.504478E+02        0.151041E+03        0.113446E+02        0.488770E+02        0.153701E+03        0.530182E+02        0.205346E+03        0.281681E+03    -0.159835E+00  -0.131682E+02  -0.143568E+00   0.119963E+02   0.269794E-01   0.107090E+01  -0.113735E+00   0.991305E-02   0.494440E-01   0.100210E-01  -0.709041E-02      0.731216E+01     0.500000E+01    0.466700E+04
   1  dtl    0.141000E+02   0.351106E+00   0.569596E+00   0.106135E+01   0.103232E+01   0.548561E+01   0.543308E+01   0.195726E+02   0.893660E+02   0.260031E-01      0.119612E+02        0.595641E+02        0.211220E+03        0.123452E+02        0.620773E+02        0.195212E+03        0.540866E+02        0.191537E+03        0.321912E+03    -0.240947E+00  -0.119225E+02  -0.126214E+00   0.209405E+02   0.273811E-01  -0.433036E+00  -0.580021E-01   0.103147E-01   0.388941E-01   0.945464E-02  -0.994284E-02      0.752740E+01     0.140000E+02    0.465300E+04
