n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  13  dtl     1.0   2.0    -4      -1.611      11.425     346.200   0.0171001  -0.0066401   0.0066021      -1.611      11.425      16.200   0.0171001  -0.0066401   0.0066021       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4       3.493       4.436     346.800  -0.0081497   0.0033132   0.0007545       3.493       4.436      16.800  -0.0081497   0.0033132   0.0007545       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4      -7.882       5.502     346.800   0.0114887   0.0113323   0.0020041      -7.882       5.502      16.800   0.0114887   0.0113323   0.0020041       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4      -2.072     -11.602     351.600   0.7590704  -0.3121041  -0.0000000      -2.072     -11.602      21.600   0.7590704  -0.3121041  -0.0000000       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4     -13.915       4.464     351.600  -0.0355220   0.0354412   0.0063676     -13.915       4.464      21.600  -0.0355220   0.0354412   0.0063676       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4       7.484      12.671     354.000   0.0418820   0.0216268   0.0170063       7.484      12.671      24.000   0.0418820   0.0216268   0.0170063       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4     -14.048       4.280     370.200  -0.0522963   0.0306711   0.0203648     -14.048       4.280      10.200  -0.0522963   0.0306711   0.0203648       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4      -1.021      -9.616     374.400  -0.0122631  -0.0083003   0.0008274      -1.021      -9.616      14.400  -0.0122631  -0.0083003   0.0008274       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4      -1.710      -9.487     375.000  -0.0101046  -0.0041493   0.0041425      -1.710      -9.487      15.000  -0.0101046  -0.0041493   0.0041425       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4       3.554       3.608     375.600   0.0101184  -0.0016500   0.0017746       3.554       3.608      15.600   0.0101184  -0.0016500   0.0017746       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4       9.154      -7.424     380.400  -0.0118545  -0.0212970   0.0103042       9.154      -7.424      20.400  -0.0118545  -0.0212970   0.0103042       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4      -7.457       9.379     383.400  -0.0161035  -0.0267773   0.0030181      -7.457       9.379      23.400  -0.0161035  -0.0267773   0.0030181       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4       9.725      -7.173     384.600   0.0061929   0.0285174   0.0048808       9.725      -7.173      24.600   0.0061929   0.0285174   0.0048808       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  14  dtl     1.0   2.0    -4       7.623      -8.275     386.400  -0.0114116  -0.0152214   0.0041878       7.623      -8.275      26.400  -0.0114116  -0.0152214   0.0041878       0.000       0.000     360.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4     -14.000       1.017     390.000  -0.0175206  -0.0274519   0.0053050     -14.000       1.017       0.000  -0.0175206  -0.0274519   0.0053050       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4      10.009      -7.441     391.200   0.0159621   0.0258279   0.0081127      10.009      -7.441       1.200   0.0159621   0.0258279   0.0081127       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4      -7.298      -7.995     391.200  -0.0257889   0.0065601   0.0106677      -7.298      -7.995       1.200  -0.0257889   0.0065601   0.0106677       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4      -0.502      -1.575     402.000   0.0099241  -0.0055547   0.0023021      -0.502      -1.575      12.000   0.0099241  -0.0055547   0.0023021       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4       6.035      -1.094     403.800  -0.0019055   0.0020663   0.0000514       6.035      -1.094      13.800  -0.0019055   0.0020663   0.0000514       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4       8.967      10.892     403.800   0.2080020   0.1086952   0.0000805       8.967      10.892      13.800   0.2080020   0.1086952   0.0000805       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4       0.664       6.073     404.400  -0.0072622  -0.0033573   0.0017548       0.664       6.073      14.400  -0.0072622  -0.0033573   0.0017548       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4       3.972      -3.705     406.200   0.0089125  -0.0023656   0.0008838       3.972      -3.705      16.200   0.0089125  -0.0023656   0.0008838       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4       3.279       4.576     406.200   0.0105699  -0.0034305   0.0026855       3.279       4.576      16.200   0.0105699  -0.0034305   0.0026855       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4      13.968       1.984     414.600   0.0329239  -0.0249503   0.0214838      13.968       1.984      24.600   0.0329239  -0.0249503   0.0214838       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
