 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.15990E+01       0.32018E-01      -0.10965E+01      -0.47117E+02      -0.35591E+00       0.31296E+02
      0      1      -0.74032E+00       0.25467E-01      -0.99115E-01      -0.15028E+02       0.70546E+00       0.51447E+02
      0      1      -0.23605E+01       0.20277E-01      -0.14313E+01      -0.13308E+03      -0.13426E+01       0.91226E+02
      0      1       0.67765E+00       0.14423E-02      -0.11065E+01      -0.32647E+02      -0.85515E+00       0.69233E+02
      0      1       0.49716E+00      -0.18731E-01      -0.49958E-01       0.10214E+03       0.10121E+01       0.19563E+02
      0      1       0.76964E+00       0.29597E-01      -0.41234E+00      -0.15238E+03      -0.67346E+00       0.17584E+02
      0      1       0.13853E+04      -0.33982E+00      -0.15239E+01      -0.33036E+03       0.39833E+00       0.38519E+03
      0      1       0.11918E+04      -0.37992E+00       0.13545E+00       0.37581E+03       0.11825E+01       0.33880E+02
      0      1       0.24676E+01       0.11250E+00      -0.25008E+01      -0.23794E+03      -0.52867E+00       0.85611E+02
      0      1       0.12716E+04      -0.31852E+00       0.62017E+00      -0.70701E+02       0.71337E+00       0.61610E+02
      0      1      -0.22764E+01       0.21953E-01      -0.27258E+00      -0.71016E+02      -0.13741E+01       0.15885E+02
      0      1      -0.15312E+01       0.29370E-01      -0.95188E-04       0.33953E+02      -0.20303E+00      -0.21890E+02
      0      1       0.22510E+01      -0.48670E-02      -0.11294E+01      -0.40898E+02       0.33659E+00       0.58552E+02
      0      1       0.12850E+01       0.97209E-01       0.16265E+01       0.76214E+02      -0.60002E+00      -0.10259E+03
      0      1       0.71462E+00       0.17163E-01       0.10092E+01      -0.54654E+02       0.38360E+00      -0.76933E+02
      0      1       0.12554E+04      -0.17481E+00      -0.24581E+01       0.17492E+04       0.55536E+01       0.18947E+04
      0      1       0.12707E+04      -0.38241E+00       0.65231E+00       0.77910E+02       0.16052E+00      -0.13389E+03
      0      1       0.94696E+00      -0.61540E-02      -0.11464E+01      -0.11146E+03      -0.18707E+01       0.21198E+03
      0      1       0.57302E+03      -0.26283E+00      -0.20362E+01       0.78989E+03       0.26719E+01       0.80780E+03
      0      1       0.37711E+00      -0.11753E-01      -0.11996E+01      -0.52152E+02       0.47060E+00       0.68453E+02
      0      1       0.13580E+04      -0.32830E+00       0.15792E+00      -0.16331E+03      -0.16771E+01       0.10770E+03
      0      1       0.55342E+00       0.12247E+00       0.27249E+01       0.52083E+02      -0.79022E-01      -0.18708E+03
      0      1      -0.12774E+01      -0.11333E-02       0.67127E+00       0.76968E+01       0.57363E+00       0.33176E+02
      0      1      -0.32586E-01      -0.23184E-02      -0.65904E+00      -0.20785E+02       0.99891E+00       0.43704E+02
      0      1       0.12245E+01       0.13690E-02      -0.76428E+00      -0.17954E+02       0.68542E+00       0.53589E+02
      0      1       0.29905E+00       0.93061E-02      -0.11125E+01      -0.97575E+02      -0.84380E+00       0.15243E+03
      0      1       0.16198E+04      -0.41309E+00       0.19015E+00      -0.33395E+03      -0.12289E+01       0.45826E+03
      0      1       0.65143E+00       0.19320E-01      -0.87592E+00      -0.24549E+02       0.52740E+00       0.12808E+03
      0      1      -0.16100E+01       0.26167E-01       0.16257E+00       0.40885E+02       0.36275E+00      -0.48237E+02
      0      1       0.89808E+03       0.14020E-02       0.32893E+01       0.88364E+02       0.11788E+01      -0.49475E+03
      0      1      -0.67712E-02      -0.83500E-02       0.20871E+00       0.10983E+03       0.15960E+01       0.47978E+02
      0      1      -0.10930E+01       0.34094E-02      -0.89829E+00       0.94724E+02       0.12440E+01       0.40439E+02
      0      1       0.17897E+01      -0.18662E-01       0.49110E+00       0.14112E+03       0.18042E+01      -0.10810E+02
      0      1       0.14555E+04      -0.35226E+00       0.73233E-01       0.77106E+02      -0.20242E+00      -0.44060E+03
      0      1      -0.11772E+01      -0.22276E-01      -0.11045E+01      -0.85509E+02      -0.67952E+00       0.14119E+03
